Benchmark,Type,Score,Baseline_Score,Overhead_Percentage
Apache,1,98680.71825,98805.168,-0.13%
Apache,1,97003.77,98805.168,-1.82%
Apache,1,97806.12,98805.168,-1.01%
Apache,1,96916.07,98805.168,-1.91%
Apache,1,97839.69029,98805.168,-0.98%
Apache,4,98599.78339,98805.168,-0.21%
Apache,4,98319.71,98805.168,-0.49%
Apache,4,97893.84902,98805.168,-0.92%
Apache,4,95018.65,98805.168,-3.83%
Apache,4,98377.45321,98805.168,-0.43%
Apache,8,96988.73,98805.168,-1.84%
Apache,8,98324.20015,98805.168,-0.49%
Apache,8,98587.11,98805.168,-0.22%
Apache,8,95378.6,98805.168,-3.47%
Apache,8,98247.25248,98805.168,-0.56%
Apache,16,94055.68,98805.168,-4.81%
Apache,16,98686.78762,98805.168,-0.12%
Apache,16,98754.56,98805.168,-0.05%
Apache,16,93763.92,98805.168,-5.10%
Apache,16,98610.49729,98805.168,-0.20%
Apache,32,94758.5,98805.168,-4.10%
Apache,32,94954.22,98805.168,-3.90%
Apache,32,96459.9,98805.168,-2.37%
Apache,32,95385.64,98805.168,-3.46%
Apache,32,97598.87,98805.168,-1.22%
Apache,64,90501.13,98805.168,-8.40%
Apache,64,89183.86,98805.168,-9.74%
Apache,64,88853.1,98805.168,-10.07%
Apache,64,89158.83,98805.168,-9.76%
Apache,64,89419.54,98805.168,-9.50%
iPerf,1,89056.00554,89316.9,-0.29%
iPerf,1,88635.64967,89316.9,-0.76%
iPerf,1,89226,89316.9,-0.10%
iPerf,1,88949.17063,89316.9,-0.41%
iPerf,1,89007,89316.9,-0.35%
iPerf,4,88848.51903,89316.9,-0.52%
iPerf,4,89131,89316.9,-0.21%
iPerf,4,89252,89316.9,-0.07%
iPerf,4,88639.07694,89316.9,-0.76%
iPerf,4,88796,89316.9,-0.58%
iPerf,8,88956.10688,89316.9,-0.40%
iPerf,8,88620,89316.9,-0.78%
iPerf,8,88322,89316.9,-1.11%
iPerf,8,88859,89316.9,-0.51%
iPerf,8,88334,89316.9,-1.10%
iPerf,16,88806,89316.9,-0.57%
iPerf,16,87776,89316.9,-1.73%
iPerf,16,87265,89316.9,-2.30%
iPerf,16,87247,89316.9,-2.32%
iPerf,16,87227,89316.9,-2.34%
iPerf,32,88021,89316.9,-1.45%
iPerf,32,86939,89316.9,-2.66%
iPerf,32,86189,89316.9,-3.50%
iPerf,32,86351,89316.9,-3.32%
